=====NEW TRIAL=====
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    6.33 6107 37.73     0.00    0  0.00     0.00    0  0.00  31 22 46  21.94 18.49 11.42
    6.07 6380 37.80     0.00    0  0.00     0.00    0  0.00  27 21 52  21.94 18.49 11.42
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.44 6867 36.50     0.00    0  0.00     0.00    0  0.00  26 21 52  21.94 18.49 11.42
    5.43 5872 31.17     0.00    0  0.00     0.00    0  0.00  25 21 54  21.94 18.49 11.42
    6.46 6474 40.83     0.00    0  0.00     0.00    0  0.00  29 21 50  21.94 18.49 11.42
    5.43 6238 33.07     0.00    0  0.00     0.00    0  0.00  31 18 51  21.47 18.45 11.45
    5.32 7049 36.65     0.00    0  0.00     0.00    0  0.00  30 18 52  21.47 18.45 11.45
    5.81 5139 29.15     0.00    0  0.00     0.00    0  0.00  27 18 55  21.47 18.45 11.45
    5.76 6115 34.37     0.00    0  0.00     0.00    0  0.00  32 20 48  21.47 18.45 11.45
    8.14 7199 57.26     0.00    0  0.00     0.00    0  0.00  31 18 51  21.47 18.45 11.45
    7.69 5511 41.40     0.00    0  0.00     0.00    0  0.00  35 31 34  21.11 18.43 11.48
   11.39 6792 75.56     0.00    0  0.00     0.00    0  0.00  32 23 45  21.11 18.43 11.48
    5.54 5835 31.56     0.00    0  0.00     0.00    0  0.00  31 20 49  21.11 18.43 11.48
    5.58 5983 32.61     0.00    0  0.00     0.00    0  0.00  30 20 50  21.11 18.43 11.48
    8.29 6371 51.60     0.00    0  0.00     0.00    0  0.00  28 21 51  21.11 18.43 11.48
    5.76 7024 39.51     0.00    0  0.00     0.00    0  0.00  31 18 51  20.06 18.25 11.46
    6.22 6595 40.07     0.00    0  0.00     0.00    0  0.00  37 20 43  20.06 18.25 11.46
    6.41 5309 33.21     0.00    0  0.00     0.00    0  0.00  26 19 55  20.06 18.25 11.46
    9.46 6108 56.45     0.00    0  0.00     0.00    0  0.00  30 19 51  20.06 18.25 11.46
   14.77 6677 96.28     0.00    0  0.00     0.00    0  0.00  38 19 43  20.06 18.25 11.46
    5.81 5977 33.90     0.00    0  0.00     0.00    0  0.00  26 22 52  19.09 18.08 11.44
    5.45 5730 30.48     0.00    0  0.00     0.00    0  0.00  31 18 51  19.09 18.08 11.44
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.61 5783 48.62     0.00    0  0.00     0.00    0  0.00  26 19 55  19.09 18.08 11.44
    6.06 6233 36.91     0.00    0  0.00     0.00    0  0.00  30 19 51  19.09 18.08 11.44
    6.69 5874 38.40     0.00    0  0.00     0.00    0  0.00  40 25 36  19.09 18.08 11.44
    8.33 5845 47.53     0.00    0  0.00     0.00    0  0.00  42 20 38  18.21 17.92 11.42
    5.48 6084 32.57     0.00    0  0.00     0.00    0  0.00  32 19 49  18.21 17.92 11.42
    5.90 10199 58.81     0.00    0  0.00     0.00    0  0.00  28 21 51  18.21 17.92 11.42
    5.45 5531 29.43     0.00    0  0.00     0.00    0  0.00  37 21 42  18.21 17.92 11.42
    7.92 6174 47.75     0.00    0  0.00     0.00    0  0.00  29 20 52  18.21 17.92 11.42
    5.70 6288 35.01     0.00    0  0.00     0.00    0  0.00  29 19 51  17.39 17.75 11.40
    5.62 6277 34.45     0.00    0  0.00     0.00    0  0.00  31 20 48  17.39 17.75 11.40
    5.45 6744 35.88     0.00    0  0.00     0.00    0  0.00  30 19 52  17.39 17.75 11.40
    5.57 6311 34.33     0.00    0  0.00     0.00    0  0.00  29 20 51  17.39 17.75 11.40
    6.98 6194 42.25     0.00    0  0.00     0.00    0  0.00  29 26 44  17.39 17.75 11.40
    5.91 4452 25.69     0.00    0  0.00     0.00    0  0.00  38 24 38  16.72 17.61 11.38
    6.47 6343 40.07     0.00    0  0.00     0.00    0  0.00  28 20 52  16.72 17.61 11.38
    5.38 6067 31.89     0.00    0  0.00     0.00    0  0.00  30 23 48  16.72 17.61 11.38
    5.65 5045 27.82     0.00    0  0.00     0.00    0  0.00  28 19 54  16.72 17.61 11.38
    6.12 6886 41.12     0.00    0  0.00     0.00    0  0.00  32 19 48  16.72 17.61 11.38
    6.42 6364 39.93     0.00    0  0.00     0.00    0  0.00  31 19 50  16.26 17.50 11.38
    8.16 5896 46.99     0.00    0  0.00     0.00    0  0.00  30 19 51  16.26 17.50 11.38
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    6.53 6022 38.41     0.00    0  0.00     0.00    0  0.00  29 20 51  16.26 17.50 11.38
    5.82 6514 37.01     0.00    0  0.00     0.00    0  0.00  45 20 35  16.26 17.50 11.38
    5.68 6285 34.89     0.00    0  0.00     0.00    0  0.00  33 21 47  16.26 17.50 11.38
    5.45 6340 33.72     0.00    0  0.00     0.00    0  0.00  33 22 46  16.08 17.44 11.40
    5.39 7226 38.04     0.00    0  0.00     0.00    0  0.00  35 19 47  16.08 17.44 11.40
    5.99 5937 34.72     0.00    0  0.00     0.00    0  0.00  40 19 41  16.08 17.44 11.40
    7.19 5564 39.08     0.00    0  0.00     0.00    0  0.00  43 21 36  16.08 17.44 11.40
    6.67 6498 42.35     0.00    0  0.00     0.00    0  0.00  40 34 26  16.08 17.44 11.40
   11.79 6207 71.46     0.00    0  0.00     0.00    0  0.00  47 34 19  16.15 17.43 11.43
    6.28 6324 38.79     0.00    0  0.00     0.00    0  0.00  46 36 18  16.15 17.43 11.43
    5.69 5574 30.98     0.00    0  0.00     0.00    0  0.00  56 40  4  16.15 17.43 11.43
    7.70 5714 42.95     0.00    0  0.00     0.00    0  0.00  50 45  4  16.15 17.43 11.43
    6.03 5339 31.43     0.00    0  0.00     0.00    0  0.00  51 45  5  16.15 17.43 11.43
    5.51 5592 30.10     0.00    0  0.00     0.00    0  0.00  51 44  5  16.86 17.56 11.51
    6.45 6296 39.65     0.00    0  0.00     0.00    0  0.00  53 42  5  16.86 17.56 11.51
    8.68 5481 46.47     0.00    0  0.00     0.00    0  0.00  51 43  6  16.86 17.56 11.51
    5.80 5663 32.10     0.00    0  0.00     0.00    0  0.00  47 45  8  16.86 17.56 11.51
    5.86 5154 29.50     0.00    0  0.00     0.00    0  0.00  52 42  6  16.86 17.56 11.51
    5.90 3457 19.91     0.00    0  0.00     0.00    0  0.00  50 43  7  18.39 17.86 11.65
    5.60 5103 27.93     0.00    0  0.00     0.00    0  0.00  55 39  5  18.39 17.86 11.65
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.55 5553 30.07     0.00    0  0.00     0.00    0  0.00  53 42  5  18.39 17.86 11.65
    6.56 9473 60.70     0.00    0  0.00     0.00    0  0.00  42 48  9  18.39 17.86 11.65
    8.51 5941 49.40     0.00    0  0.00     0.00    0  0.00  44 45 11  18.39 17.86 11.65
    5.38 6568 34.50     0.00    0  0.00     0.00    0  0.00  45 45 10  21.08 18.43 11.89
    5.61 5548 30.39     0.00    0  0.00     0.00    0  0.00  46 44  9  21.08 18.43 11.89
    7.82 4752 36.30     0.00    0  0.00     0.00    0  0.00  54 38  7  21.08 18.43 11.89
    5.75 5234 29.36     0.00    0  0.00     0.00    0  0.00  41 42 16  21.08 18.43 11.89
    5.63 5889 32.38     0.00    0  0.00     0.00    0  0.00  46 46  9  21.08 18.43 11.89
    5.54 5473 29.59     0.00    0  0.00     0.00    0  0.00  48 44  8  20.92 18.44 11.93
    7.23 5176 36.56     0.00    0  0.00     0.00    0  0.00  45 46  9  20.92 18.44 11.93
    5.45 6658 35.46     0.00    0  0.00     0.00    0  0.00  46 45  9  20.92 18.44 11.93
    6.02 5621 33.04     0.00    0  0.00     0.00    0  0.00  49 43  8  20.92 18.44 11.93
    6.28 5719 35.08     0.00    0  0.00     0.00    0  0.00  47 43 10  20.92 18.44 11.93
    8.81 5581 48.04     0.00    0  0.00     0.00    0  0.00  40 42 19  21.08 18.51 11.99
    5.47 5789 30.90     0.00    0  0.00     0.00    0  0.00  44 46 10  21.08 18.51 11.99
    5.61 5562 30.46     0.00    0  0.00     0.00    0  0.00  45 46  9  21.08 18.51 11.99
   14.24 7356 102.28     0.00    0  0.00     0.00    0  0.00  46 43 11  21.08 18.51 11.99
    6.23 11484 69.92     0.00    0  0.00     0.00    0  0.00  43 46 11  21.08 18.51 11.99
    4.80 11657 54.63     0.00    0  0.00     0.00    0  0.00  40 49 11  21.40 18.62 12.07
    8.70 6662 56.57     0.00    0  0.00     0.00    0  0.00  45 46  9  21.40 18.62 12.07
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.08 5853 46.19     0.00    0  0.00     0.00    0  0.00  47 43 10  21.40 18.62 12.07
    8.72 5259 44.77     0.00    0  0.00     0.00    0  0.00  47 45  8  21.40 18.62 12.07
    5.48 3894 20.85     0.00    0  0.00     0.00    0  0.00  42 52  6  21.40 18.62 12.07
    6.27 6332 38.79     0.00    0  0.00     0.00    0  0.00  49 43  8  21.12 18.61 12.11
    5.70 5832 32.47     0.00    0  0.00     0.00    0  0.00  47 43  9  21.12 18.61 12.11
    5.74 5943 33.33     0.00    0  0.00     0.00    0  0.00  46 45  9  21.12 18.61 12.11
    5.54 6326 34.21     0.00    0  0.00     0.00    0  0.00  46 46  9  21.12 18.61 12.11
    5.55 4998 27.10     0.00    0  0.00     0.00    0  0.00  49 44  6  21.12 18.61 12.11
    7.68 5061 37.96     0.00    0  0.00     0.00    0  0.00  42 43 15  20.55 18.53 12.12
    5.44 5455 29.00     0.00    0  0.00     0.00    0  0.00  46 46  8  20.55 18.53 12.12
    6.97 5294 36.01     0.00    0  0.00     0.00    0  0.00  47 46  8  20.55 18.53 12.12
    8.33 4953 40.29     0.00    0  0.00     0.00    0  0.00  50 43  7  20.55 18.53 12.12
    5.56 5212 28.32     0.00    0  0.00     0.00    0  0.00  48 44  8  21.07 18.67 12.20
    5.64 5558 30.61     0.00    0  0.00     0.00    0  0.00  46 46  8  21.07 18.67 12.20
    5.37 6538 34.26     0.00    0  0.00     0.00    0  0.00  48 44  8  21.07 18.67 12.20
    6.13 5483 32.81     0.00    0  0.00     0.00    0  0.00  50 43  7  21.07 18.67 12.20
    5.52 5512 29.73     0.00    0  0.00     0.00    0  0.00  54 40  7  21.07 18.67 12.20
    6.59 5858 37.68     0.00    0  0.00     0.00    0  0.00  50 42  8  20.10 18.51 12.18
    6.26 5650 34.52     0.00    0  0.00     0.00    0  0.00  46 46  8  20.10 18.51 12.18
    5.49 5708 30.59     0.00    0  0.00     0.00    0  0.00  46 45  8  20.10 18.51 12.18
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.78 6051 34.18     0.00    0  0.00     0.00    0  0.00  45 41 14  20.10 18.51 12.18
   10.33 6790 68.52     0.00    0  0.00     0.00    0  0.00  52 37 11  20.10 18.51 12.18
    8.55 6320 52.77     0.00    0  0.00     0.00    0  0.00  49 34 17  20.09 18.54 12.23
    6.82 5925 39.48     0.00    0  0.00     0.00    0  0.00  43 34 23  20.09 18.54 12.23
    5.83 4089 23.27     0.00    0  0.00     0.00    0  0.00  53 28 20  20.09 18.54 12.23
    6.49 5956 37.73     0.00    0  0.00     0.00    0  0.00  44 33 23  20.09 18.54 12.23
    6.10 8965 53.36     0.00    0  0.00     0.00    0  0.00  40 32 28  20.09 18.54 12.23
   14.78 6994 100.94     0.00    0  0.00     0.00    0  0.00  46 33 21  20.17 18.58 12.28
    6.84 5718 38.19     0.00    0  0.00     0.00    0  0.00  43 34 23  20.17 18.58 12.28
    6.59 5855 37.66     0.00    0  0.00     0.00    0  0.00  44 36 21  20.17 18.58 12.28
    7.11 6864 47.64     0.00    0  0.00     0.00    0  0.00  44 34 22  20.17 18.58 12.28
    6.12 6062 36.21     0.00    0  0.00     0.00    0  0.00  44 29 27  20.17 18.58 12.28
    8.33 5643 45.88     0.00    0  0.00     0.00    0  0.00  37 24 39  20.23 18.62 12.33
    6.10 6745 40.17     0.00    0  0.00     0.00    0  0.00  35 19 46  20.23 18.62 12.33
    8.67 7026 59.46     0.00    0  0.00     0.00    0  0.00  39 24 36  20.23 18.62 12.33
    5.49 6264 33.58     0.00    0  0.00     0.00    0  0.00  37 18 45  20.23 18.62 12.33
    6.01 5027 29.49     0.00    0  0.00     0.00    0  0.00  47 20 33  20.23 18.62 12.33
    6.45 6340 39.96     0.00    0  0.00     0.00    0  0.00  38 21 41  19.25 18.44 12.31
    5.68 5586 31.00     0.00    0  0.00     0.00    0  0.00  39 19 42  19.25 18.44 12.31
    6.75 6552 43.16     0.00    0  0.00     0.00    0  0.00  35 19 47  19.25 18.44 12.31
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.60 5990 44.45     0.00    0  0.00     0.00    0  0.00  36 19 45  19.25 18.44 12.31
    6.77 6629 43.80     0.00    0  0.00     0.00    0  0.00  40 19 41  19.25 18.44 12.31
    5.50 6274 33.67     0.00    0  0.00     0.00    0  0.00  35 18 47  19.39 18.48 12.36
    9.00 7539 66.29     0.00    0  0.00     0.00    0  0.00  35 18 46  19.39 18.48 12.36
    5.45 6259 33.29     0.00    0  0.00     0.00    0  0.00  34 17 48  19.39 18.48 12.36
    6.15 5861 35.22     0.00    0  0.00     0.00    0  0.00  39 17 44  19.39 18.48 12.36
    8.96 6967 60.95     0.00    0  0.00     0.00    0  0.00  30 19 51  19.39 18.48 12.36
    8.14 6151 48.86     0.00    0  0.00     0.00    0  0.00  28 19 54  18.64 18.34 12.34
    7.29 5800 41.29     0.00    0  0.00     0.00    0  0.00  29 19 52  18.64 18.34 12.34
    6.82 6350 42.28     0.00    0  0.00     0.00    0  0.00  30 19 51  18.64 18.34 12.34
    5.74 6226 34.93     0.00    0  0.00     0.00    0  0.00  31 20 50  18.64 18.34 12.34
    6.92 7380 49.84     0.00    0  0.00     0.00    0  0.00  33 18 49  18.64 18.34 12.34
    9.02 6463 56.92     0.00    0  0.00     0.00    0  0.00  31 18 51  17.55 18.12 12.30
   12.16 5092 60.46     0.00    0  0.00     0.00    0  0.00  40 19 41  17.55 18.12 12.30
    7.37 6692 48.14     0.00    0  0.00     0.00    0  0.00  34 19 47  17.55 18.12 12.30
    5.85 6683 38.17     0.00    0  0.00     0.00    0  0.00  33 19 49  17.55 18.12 12.30
    6.02 5115 30.09     0.00    0  0.00     0.00    0  0.00  29 18 53  17.55 18.12 12.30
   28.78 6633 186.43     0.00    0  0.00     0.00    0  0.00  29 19 51  17.02 18.00 12.29
   10.71 6130 64.11     0.00    0  0.00     0.00    0  0.00  33 19 48  17.02 18.00 12.29
    6.61 6242 40.31     0.00    0  0.00     0.00    0  0.00  30 18 52  17.02 18.00 12.29
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.94 6260 54.65     0.00    0  0.00     0.00    0  0.00  31 18 50  17.02 18.00 12.29
    5.97 6354 37.03     0.00    0  0.00     0.00    0  0.00  34 18 48  17.02 18.00 12.29
    5.74 6809 38.18     0.00    0  0.00     0.00    0  0.00  30 20 50  16.30 17.84 12.27
    7.56 6481 47.85     0.00    0  0.00     0.00    0  0.00  30 19 51  16.30 17.84 12.27
    6.91 6427 43.39     0.00    0  0.00     0.00    0  0.00  30 20 51  16.30 17.84 12.27
    5.56 6419 34.83     0.00    0  0.00     0.00    0  0.00  31 19 50  16.30 17.84 12.27
    6.84 9373 62.57     0.00    0  0.00     0.00    0  0.00  31 20 49  16.30 17.84 12.27
    9.49 7596 70.41     0.00    0  0.00     0.00    0  0.00  27 20 53  15.96 17.74 12.26
    5.44 6599 35.05     0.00    0  0.00     0.00    0  0.00  34 18 48  15.96 17.74 12.26
    5.61 6480 35.51     0.00    0  0.00     0.00    0  0.00  36 19 45  15.96 17.74 12.26
    5.62 6028 33.11     0.00    0  0.00     0.00    0  0.00  23 18 59  15.96 17.74 12.26
    6.68 5178 33.76     0.00    0  0.00     0.00    0  0.00  39 25 37  15.96 17.74 12.26
   11.36 10006 110.98     0.00    0  0.00     0.00    0  0.00  27 19 53  15.00 17.51 12.22
    4.77 14872 69.23     0.00    0  0.00     0.00    0  0.00  19 23 58  15.00 17.51 12.22
    9.77 6955 66.36     0.00    0  0.00     0.00    0  0.00  28 19 53  15.00 17.51 12.22
    7.99 6305 49.21     0.00    0  0.00     0.00    0  0.00  34 19 48  15.00 17.51 12.22
    7.92 6472 50.09     0.00    0  0.00     0.00    0  0.00  28 18 54  15.00 17.51 12.22
    7.39 5868 42.33     0.00    0  0.00     0.00    0  0.00  28 19 53  14.44 17.35 12.19
    7.29 5680 40.45     0.00    0  0.00     0.00    0  0.00  42 21 38  14.44 17.35 12.19
    8.68 6026 51.07     0.00    0  0.00     0.00    0  0.00  35 20 46  14.44 17.35 12.19
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   15.12 7400 109.25     0.00    0  0.00     0.00    0  0.00  29 20 51  14.44 17.35 12.19
   13.17 6419 82.54     0.00    0  0.00     0.00    0  0.00  29 20 51  14.44 17.35 12.19
    5.59 7091 38.73     0.00    0  0.00     0.00    0  0.00  32 19 49  14.24 17.26 12.19
    5.44 5047 26.84     0.00    0  0.00     0.00    0  0.00  40 18 42  14.24 17.26 12.19
    6.38 6266 39.06     0.00    0  0.00     0.00    0  0.00  28 21 51  14.24 17.26 12.19
   10.99 6040 64.84     0.00    0  0.00     0.00    0  0.00  31 19 49  14.24 17.26 12.19
   16.41 5050 80.90     0.00    0  0.00     0.00    0  0.00  24 19 57  14.24 17.26 12.19
   19.15 6246 116.83     0.00    0  0.00     0.00    0  0.00  27 20 53  14.46 17.26 12.22
   10.63 6210 64.49     0.00    0  0.00     0.00    0  0.00  32 20 48  14.46 17.26 12.22
    8.16 6425 51.23     0.00    0  0.00     0.00    0  0.00  31 19 50  14.46 17.26 12.22
   10.68 6980 72.80     0.00    0  0.00     0.00    0  0.00  36 19 44  14.46 17.26 12.22
   10.19 6364 63.32     0.00    0  0.00     0.00    0  0.00  31 19 50  14.46 17.26 12.22
    7.71 7230 54.40     0.00    0  0.00     0.00    0  0.00  31 19 49  14.35 17.19 12.22
    7.35 5844 41.96     0.00    0  0.00     0.00    0  0.00  29 20 52  14.35 17.19 12.22
   10.14 6269 62.08     0.00    0  0.00     0.00    0  0.00  30 19 51  14.35 17.19 12.22
    5.81 6254 35.51     0.00    0  0.00     0.00    0  0.00  32 18 50  14.35 17.19 12.22
    6.47 6211 39.23     0.00    0  0.00     0.00    0  0.00  32 20 48  14.35 17.19 12.22
    5.92 5685 32.90     0.00    0  0.00     0.00    0  0.00  30 19 51  13.92 17.05 12.20
    6.18 6771 40.89     0.00    0  0.00     0.00    0  0.00  33 18 50  13.92 17.05 12.20
    7.00 6639 45.37     0.00    0  0.00     0.00    0  0.00  31 19 50  13.92 17.05 12.20
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   10.63 5956 61.83     0.00    0  0.00     0.00    0  0.00  28 19 53  13.92 17.05 12.20
    8.07 3963 31.21     0.00    0  0.00     0.00    0  0.00  34 24 42  13.92 17.05 12.20
    6.85 6639 44.39     0.00    0  0.00     0.00    0  0.00  32 18 50  14.00 17.02 12.22
    7.39 6425 46.36     0.00    0  0.00     0.00    0  0.00  31 19 50  14.00 17.02 12.22
    6.75 5260 34.66     0.00    0  0.00     0.00    0  0.00  28 17 55  14.00 17.02 12.22
    6.12 6211 37.11     0.00    0  0.00     0.00    0  0.00  27 20 53  14.00 17.02 12.22
   11.08 9680 104.75     0.00    0  0.00     0.00    0  0.00  24 18 57  14.00 17.02 12.22
    7.17 12614 88.35     0.00    0  0.00     0.00    0  0.00  27 22 52  14.24 17.02 12.25
    5.50 8151 43.79     0.00    0  0.00     0.00    0  0.00  31 19 51  14.24 17.02 12.25
    5.74 6585 36.90     0.00    0  0.00     0.00    0  0.00  30 19 51  14.24 17.02 12.25
    7.64 11523 85.98     0.00    0  0.00     0.00    0  0.00  20 25 55  14.24 17.02 12.25
    5.23 7629 38.95     0.00    0  0.00     0.00    0  0.00  21 20 59  14.24 17.02 12.25
    5.56 6371 34.57     0.00    0  0.00     0.00    0  0.00  28 21 51  13.50 16.82 12.20
    5.47 5210 27.84     0.00    0  0.00     0.00    0  0.00  38 21 40  13.50 16.82 12.20
    5.44 5981 31.78     0.00    0  0.00     0.00    0  0.00  26 22 52  13.50 16.82 12.20
    5.31 6718 34.81     0.00    0  0.00     0.00    0  0.00  31 21 47  13.50 16.82 12.20
    6.98 6587 44.88     0.00    0  0.00     0.00    0  0.00  36 21 43  13.50 16.82 12.20
    5.48 5323 28.50     0.00    0  0.00     0.00    0  0.00  30 21 49  13.38 16.74 12.20
    6.25 5076 30.99     0.00    0  0.00     0.00    0  0.00  32 18 51  13.38 16.74 12.20
    5.39 6127 32.27     0.00    0  0.00     0.00    0  0.00  30 17 53  13.38 16.74 12.20
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.61 6605 36.18     0.00    0  0.00     0.00    0  0.00  30 19 51  13.38 16.74 12.20
    6.43 6681 41.94     0.00    0  0.00     0.00    0  0.00  28 20 52  13.38 16.74 12.20
    8.92 5973 52.03     0.00    0  0.00     0.00    0  0.00  32 19 49  13.19 16.64 12.19
    8.53 7359 61.30     0.00    0  0.00     0.00    0  0.00  31 19 51  13.19 16.64 12.19
    5.80 6176 34.99     0.00    0  0.00     0.00    0  0.00  31 19 50  13.19 16.64 12.19
    9.29 6702 60.83     0.00    0  0.00     0.00    0  0.00  33 19 49  13.19 16.64 12.19
    5.40 6444 33.95     0.00    0  0.00     0.00    0  0.00  30 22 48  13.19 16.64 12.19
    5.50 6382 34.31     0.00    0  0.00     0.00    0  0.00  30 20 50  14.86 16.93 12.32
    5.76 6572 36.96     0.00    0  0.00     0.00    0  0.00  39 19 42  14.86 16.93 12.32
    5.43 6333 33.61     0.00    0  0.00     0.00    0  0.00  29 19 52  14.86 16.93 12.32
    5.53 6411 34.64     0.00    0  0.00     0.00    0  0.00  31 22 46  14.86 16.93 12.32
    5.87 4447 25.49     0.00    0  0.00     0.00    0  0.00  37 29 34  14.86 16.93 12.32
    8.18 6320 50.46     0.00    0  0.00     0.00    0  0.00  33 24 43  15.99 17.13 12.42
    5.47 6422 34.32     0.00    0  0.00     0.00    0  0.00  31 20 50  15.99 17.13 12.42
    5.42 7049 37.33     0.00    0  0.00     0.00    0  0.00  30 19 50  15.99 17.13 12.42
    5.54 5906 31.98     0.00    0  0.00     0.00    0  0.00  31 19 50  15.99 17.13 12.42
    5.93 6482 37.54     0.00    0  0.00     0.00    0  0.00  30 19 51  15.99 17.13 12.42
    6.85 5306 35.50     0.00    0  0.00     0.00    0  0.00  40 18 42  17.59 17.44 12.56
    6.12 6502 38.84     0.00    0  0.00     0.00    0  0.00  33 19 48  17.59 17.44 12.56
    5.44 6923 36.78     0.00    0  0.00     0.00    0  0.00  32 19 49  17.59 17.44 12.56
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.54 6495 35.17     0.00    0  0.00     0.00    0  0.00  33 20 47  17.59 17.44 12.56
    5.52 6263 33.73     0.00    0  0.00     0.00    0  0.00  30 20 51  17.59 17.44 12.56
    5.33 7114 37.05     0.00    0  0.00     0.00    0  0.00  32 19 49  17.70 17.47 12.60
    5.60 6488 35.47     0.00    0  0.00     0.00    0  0.00  36 20 44  17.70 17.47 12.60
